,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
1172,Figaro Pho,2009–,N/A,"Animation, Comedy",N/A,A boy with some serious phobias.,English,Australia,N/A,Internet Movie Database:6.4/10,6.4,254
1173,Figures of Speech,2015,TV-14,"Documentary, Comedy, Drama",Ari Levinson,"FIGURES OF SPEECH follows four duo teams from four different states over the course of one year, culminating at the National Speech and Debate tournament in Las Vegas. The teams represent a cross-section of American high school st...",English,United States,N/A,Internet Movie Database:7.6/10,7.6,25
1174,Flowering Heart,2016–,TV-Y7,"Animation, Action, Adventure",N/A,"Jin Ari, the main character, is a cheerful 12 year old girl that loves art, fashion, beauty and making people happy. With her friends Sunwoo Min, a tomboy, and U Suha, a proper lady, they help people out of their despair by using ...",Korean,South Korea,N/A,Internet Movie Database:7.3/10,7.3,48
1175,Food - Delicious Science,2017,TV-PG,Documentary,N/A,"Dr. Michael Mosley and botanist James Wong celebrate the physics, chemistry, and biology hidden inside every bite of your next meal. Learn how the hidden chemistry of food keeps our bodies fit and healthy; take a global culinary a...",English,United Kingdom,N/A,Internet Movie Database:7.9/10,7.9,38
1176,For the Love of Benji,1977,G,"Adventure, Comedy, Drama",Joe Camp,"Benji sniffs out a bogus CIA agent in Athens, Greece.","English, Greek",United States,N/A,"Internet Movie Database:5.9/10, Metacritic:46/100",5.9,"1,195"
1177,Forbidden Planet,1956,G,"Adventure, Sci-Fi",Fred M. Wilcox,"A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.",English,United States,Nominated for 1 Oscar. 2 wins & 3 nominations total,"Internet Movie Database:7.5/10, Rotten Tomatoes:96%, Metacritic:80/100",7.5,"51,313"
1178,Frasier,1993–2004,TV-PG,Comedy,N/A,"Dr. Frasier Crane moves back to his hometown of Seattle, where he lives with his father, and works as a radio psychiatrist.",English,United States,Won 37 Primetime Emmys. 130 wins & 276 nominations total,Internet Movie Database:8.2/10,8.2,"88,555"
1179,Fred Claus,2007,PG,"Comedy, Family, Fantasy",David Dobkin,"Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.",English,United States,N/A,"Internet Movie Database:5.6/10, Rotten Tomatoes:21%, Metacritic:42/100",5.6,"45,720"
1180,Free Willy,1993,PG,"Adventure, Drama, Family",Simon Wincer,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",English,"United States, Mexico",7 wins & 2 nominations,"Internet Movie Database:6.0/10, Rotten Tomatoes:71%, Metacritic:79/100",6.0,"79,957"
1181,Freshman Year,2019,N/A,Drama,Jude Okwudiafor Johnson,The journey of two young people going off to college from their sheltered homes and different backgrounds to face the real world of battling peer pressure and falling in love.,English,United States,8 wins & 9 nominations,Internet Movie Database:5.2/10,5.2,238
1182,Froning: The Fittest Man in History,2015,PG,Documentary,Heber Cannon,"Rich Froning Jr. is a legend in CrossFit and the Sport of Fitness. In this biopic, take a look at his childhood, follow his quest for a fourth CrossFit Games title, and see him as a son, a husband and a new father.",English,United States,N/A,Internet Movie Database:6.6/10,6.6,"1,276"
1183,Frozen Planet,2011–2012,TV-PG,Documentary,N/A,Focuses on life and the environment in both the Arctic and Antarctic.,"English, Russian","United Kingdom, United States, Spain, Germany, Greece, Canada",Won 4 Primetime Emmys. 12 wins & 9 nominations total,Internet Movie Database:9.0/10,9.0,"31,851"
1184,Frozen Planet: On Thin Ice,2011,N/A,Documentary,N/A,David Attenborough journeys to both polar regions to investigate what rising temperatures will mean for the people and wildlife that live there.,English,USA,N/A,Internet Movie Database:6.5/10,6.5,19
1185,Full Out,2015,TV-PG,"Biography, Drama, Family",Sean Cisterna,A young gymnast's Olympic aspirations are crushed after a debilitating accident.,English,"Canada, United States",N/A,Internet Movie Database:6.3/10,6.3,"2,917"
1186,G-Force,2009,PG,"Animation, Action, Adventure",Hoyt Yeatman,A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.,"English, Spanish",United States,1 win & 1 nomination,"Internet Movie Database:5.1/10, Rotten Tomatoes:22%, Metacritic:41/100",5.1,"48,499"
1187,Galavant,2015–2016,TV-PG,"Adventure, Comedy, Fantasy",N/A,A musical comedy adventure featuring a knight on a quest for love who helps a childish king to see the error of his ways.,English,United States,Nominated for 1 Primetime Emmy. 4 nominations total,Internet Movie Database:8.1/10,8.1,"16,160"
1188,Galih dan Ratna,2017,N/A,"Drama, Romance",Lucky Kuswandi,Two teenagers are not ready to become an adult. But they demanded a lot by their environment without considering what exactly that they want. They only have each other to quietly encourage each other and pursue their dreams.,Indonesian,Indonesia,8 nominations,Internet Movie Database:6.6/10,6.6,274
1189,Gangs of Hassepur,2014,N/A,Comedy,N/A,"Judges weigh in on a mix of outlandish sketches, stand-up comics and other comedy routines that poke fun at politics and other current events.",Hindi,India,N/A,,N/A,N/A
1190,Garuda di Dadaku,2009,TV-G,"Drama, Sport",Ifa Isfansyah,Talented 12-year-old boy dreams of becoming a great soccer player despite his loving grandfather's stern disapproval.,"Indonesian, English",Indonesia,1 win & 3 nominations,Internet Movie Database:6.7/10,6.7,280
