,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
422,Finding Agnes,2020,N/A,Drama,Marla Ancheta,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.","Tagalog, Filipino",Philippines,6 nominations,Internet Movie Database:5.0/10,5.0,167
423,Spookley and the Christmas Kittens,2019,Not Rated,"Animation, Short, Adventure",Bernie Denk,Spookley the Square Pumpkin helps a special green cat and three stray kittens find a home and teaches us that it’s never wrong to do the right thing.,English,United States,N/A,Internet Movie Database:4.6/10,4.6,117
424,A Go! Go! Cory Carson Christmas,2020,TV-Y,"Animation, Short, Family","Stanley Moore, Alex Woo","When a familiar stranger shows up with no memory, Cory saves Christmas for everyone by helping him remember the magic of Christmas.",English,United States,N/A,Internet Movie Database:6.4/10,6.4,59
425,Dance Dreams: Hot Chocolate Nutcracker,2020,TV-G,"Documentary, Family",Oliver Bokelberg,"Behind-the-scenes at the Debbie Allen Dance Academy and their award-winning version of The Nutcracker, which blends a variety of dance traditions.",English,United States,N/A,Internet Movie Database:7.1/10,7.1,376
426,Fantastica,2018,G,"Comedy, Fantasy",Barry Gonzalez,The proprietor of a struggling carnival must help a prince from another land find three lost princesses.,"Tagalog, Filipino",Philippines,5 nominations,Internet Movie Database:3.6/10,3.6,249
427,Shawn Mendes: Live in Concert,2020,N/A,Music,Paul Dugdale,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans.",English,"United Kingdom, United States",N/A,Internet Movie Database:7.2/10,7.2,355
428,The Christmas Chronicles: Part Two,2020,PG,"Adventure, Comedy, Family",Chris Columbus,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.",English,United States,1 nomination,"Internet Movie Database:6.0/10, Rotten Tomatoes:65%, Metacritic:51/100",6.0,"33,040"
429,Dragons: Rescue Riders: Huttsgalor Holiday,2020,TV-Y,"Animation, Family","Greg Rankin, T.J. Sullivan","Odinyule, the feast of the Vikings sharing, begins with the snow. But if the Rescue Team does not step in, perhaps the tradition will be canceled due to extreme weather conditions.",English,United States,N/A,Internet Movie Database:5.8/10,5.8,143
430,Alien Xmas,2020,E,"Animation, Short, Adventure",Stephen Chiodo,"When extraterrestrials attempt to steal Earth's gravity, only the gift-giving spirit of Christmas -- and a small Alien named X -- can save the world.",English,United States,1 nomination,"Internet Movie Database:6.2/10, Rotten Tomatoes:100%",6.2,"1,439"
431,Flavorful Origins,2019–,N/A,Documentary,N/A,Embark on a delightful journey through the culinary traditions of China and uncover the stories of the people who create and cherish its dishes.,Mandarin,China,N/A,Internet Movie Database:7.7/10,7.7,702
432,The App That Stole Christmas,2020,N/A,Comedy,Monica Floyd,"The App that Stole Christmas is a story about Felix Rhome, an inventor, who has created a super powerful App that eases the shopping craze during Christmas by the click of a button. His company Bomazon, with its powerful Christmas...",English,United States,N/A,Internet Movie Database:2.7/10,2.7,756
433,Voices of Fire,2020,TV-PG,"Music, Reality-TV",N/A,Pharrell Williams's hometown community leaders attempt to build one of the world's most inspiring gospel choirs.,English,United States,1 nomination,Internet Movie Database:6.9/10,6.9,408
434,The Princess Switch: Switched Again,2020,TV-G,"Comedy, Drama, Family",Mike Rohl,"When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.",English,United States,1 win & 1 nomination,"Internet Movie Database:5.4/10, Rotten Tomatoes:56%",5.4,"12,616"
435,Three Words to Forever,2018,N/A,"Comedy, Drama, Family",Cathy Garcia-Molina,"Rick and Cristy and Tinay delay their separation to celebrate their 25th anniversary, but as the wedding preparations progress, all three couples face complications that make them question if they should stay together.","Tagalog, Filipino",Philippines,N/A,Internet Movie Database:6.9/10,6.9,123
436,Holiday Home Makeover with Mr. Christmas,2020,TV-G,Reality-TV,N/A,"Mr. Christmas, a veteran in the interior design industry with a healthy obsession with the holiday season, takes you behind the scenes as he puts his design expertise and vast Christmas collection to good use.",English,United States,N/A,Internet Movie Database:5.9/10,5.9,322
437,Ainu Mosir,2020,N/A,Drama,Takeshi Fukunaga,"A coming of age tale about Kanto, a 14 year old boy, and a descendant of Japan's indigenous Ainu people, who struggles to come to terms with the recent loss of his father. One day, he learns about the small hole in the cliff in ne...","Japanese, English, Aboriginal","Japan, United States, China",2 wins & 8 nominations,"Internet Movie Database:6.6/10, Rotten Tomatoes:100%",6.6,277
438,The Boss Baby: Back in Business,2018–2021,TV-Y7,"Animation, Adventure, Comedy",N/A,"With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.","English, Mandarin, French, Cantonese, Spanish",United States,1 win & 3 nominations,Internet Movie Database:6.5/10,6.5,"4,077"
439,A Very Country Christmas,2017,PG,"Comedy, Drama, Romance",Justin G. Dyck,A country music star leaves it all behind to get back to his roots and find his way back to what he really loves. What he doesn't expect to find - is true love.,English,"United States, Canada",N/A,Internet Movie Database:6.1/10,6.1,"1,894"
440,Beyblade Burst Rise,2020–,TV-Y7-FV,"Animation, Action, Adventure",N/A,"After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan - Beyblade's birthplace.",English,"Japan, Spain",N/A,Internet Movie Database:5.9/10,5.9,197
441,Cloudy with a Chance of Meatballs 2,2013,PG,"Animation, Adventure, Comedy","Cody Cameron, Kris Pearn","Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.","English, Chinese","United States, Canada",Nominated for 1 BAFTA Award16 nominations total,"Internet Movie Database:6.3/10, Rotten Tomatoes:71%, Metacritic:59/100",6.3,"109,372"
442,Hometown Holiday,2018,TV-PG,"Comedy, Drama, Romance",Justin G. Dyck,"Krista is starting this New Year with a new business and a resolution to be more selective with who she dates. When Krista meets Ryan Rourke, an entertainment lawyer from LA, the two really hit it off. Ryan is in her hometown to s...",English,Canada,N/A,Internet Movie Database:5.1/10,5.1,"1,146"
443,Polly Pocket,2018–,TV-Y7,"Animation, Adventure, Comedy",N/A,"Polly is often told she is ""TOO LITTLE"" to do the things she wants to do, but Polly proves what every kid knows - that being little isn't a limitation; IT'S HER GREATEST STRENGTH. When Polly Pocket inherits a magic locket that all...",English,"Canada, United States, Ireland",2 nominations,Internet Movie Database:6.1/10,6.1,150
444,White Christmas,1954,Not Rated,"Comedy, Musical, Romance",Michael Curtiz,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,English,United States,Nominated for 1 Oscar. 1 nomination total,"Internet Movie Database:7.5/10, Rotten Tomatoes:77%, Metacritic:56/100",7.5,"46,802"
445,Fukrey Boyzzz: Space Mein Fukrapanti,2020,N/A,"Animation, Comedy, Family",Avinash Walzade,N/A,Hindi,India,N/A,,N/A,16
446,Jingle Jangle: A Christmas Journey,2020,PG,"Family, Fantasy, Musical",David E. Talbert,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",English,United States,4 wins & 22 nominations,"Internet Movie Database:6.5/10, Rotten Tomatoes:90%, Metacritic:69/100",6.5,"19,666"
447,A Very Special Love,2008,TV-PG,"Comedy, Romance",Cathy Garcia-Molina,"Laida Magtalas is a modern-day Belle. ""Miggy"" is the youngest member of the Montenegro clan, a well-established family in the business world. She applies as Editorial Assistant at Miggy's newly launched men's magazine, ""Bachelor,""...","Tagalog, Filipino",Philippines,19 nominations,Internet Movie Database:6.5/10,6.5,419
448,Bakugan: Battle Planet,2018–,TV-Y7-FV,"Animation, Action, Adventure",N/A,Bakugan Battle Planet follows the adventures of Dan Kouzo and his best friends: the first kids on Earth to bond with the mysterious creatures known as Bakugan!,"English, Korean","Japan, Canada, United States",2 nominations,Internet Movie Database:4.6/10,4.6,264
449,Midnight at the Magnolia,2020,TV-G,"Comedy, Romance",Max McGuire,Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.,English,Canada,1 nomination,Internet Movie Database:5.8/10,5.8,"5,900"
450,Operation Christmas Drop,2020,TV-G,"Comedy, Family, Romance",Martin Wood,"Congressional aide Erica forgoes family Christmas to travel at her boss's behest. At a beach side Air Force base, she clashes with Capt. Andrew Jantz, who knows her assignment is finding reasons to defund the facility.",English,United States,1 win & 1 nomination,"Internet Movie Database:5.8/10, Rotten Tomatoes:47%, Metacritic:47/100",5.8,"12,398"
451,Christmas with a Prince,2018,TV-PG,"Comedy, Drama, Romance",Justin G. Dyck,"Pediatric specialist Tasha Miller is focused on keeping the kids in her ward as healthy as possible. But when the handsome Prince Alexander Cavalieri breaks his leg on a nearby ski-slope, Tasha is forced to allow him to secretly g...","English, Russian",Canada,N/A,Internet Movie Database:5.3/10,5.3,"1,890"
452,Miss India,2020,TV-PG,Drama,Narendra Nath,"An aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from culture to start a tea business.","Telugu, Tamil",India,N/A,Internet Movie Database:3.6/10,3.6,"2,224"
453,Christmas Break-In,2018,N/A,Family,Michael Kampa,"Izzy is an energetic 9-year-old girl. Overscheduled and running late, her parents can't pick her up on time on the last day of school before Christmas break. A blizzard complicates this situation, but not as much so as a pair of b...",English,United States,N/A,Internet Movie Database:4.5/10,4.5,"1,661"
454,Elf Pets: A Fox Cub's Christmas Tale,2018,Not Rated,"Animation, Short, Comedy",Chanda Bell,"Set against the backdrop of the mystical Northern Lights, Scout Elf Newsey investigates how Santa travels the world at night.",English,United States,N/A,Internet Movie Database:4.7/10,4.7,111
455,Elf Pets: Santa's Reindeer Rescue,2020,Not Rated,"Short, Family",Chanda Bell,"It's almost Christmas and Santa's test flights have run into trouble. Can The Elf on the Shelf, a crew of adorable Elf Pets Reindeer and Santa's gang of trusted Scout Elf friends help him find the answer before it's too late? Join...",English,United States,N/A,Internet Movie Database:4.6/10,4.6,123
456,Elliot the Littlest Reindeer,2018,PG,"Animation, Family",Jennifer Westcott,"When Blitzen announces his retirement on December 21st, a miniature horse has 3 days to fulfill his lifelong dream of earning a spot on Santa's team at the North Pole try-outs.",English,Canada,N/A,"Internet Movie Database:5.0/10, Rotten Tomatoes:29%, Metacritic:38/100",5.0,"1,171"
457,The Lego Ninjago Movie,2017,PG,"Animation, Action, Adventure","Charlie Bean, Paul Fisher, Bob Logan","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",English,"United States, Denmark, Australia",7 nominations,"Internet Movie Database:6.0/10, Rotten Tomatoes:55%, Metacritic:55/100",6.0,"28,218"
458,Lego Ninjago: Masters of Spinjitzu,2011,Not Rated,"Animation, Action, Adventure","Michael Hegner, Justin Joseph Murphy","An army of skeletons has invaded Ninjago from the underworld, under the command of the evil Lord Garmadon. Their goal: capture the Four Weapons of Spinjitzu, artifacts so powerful it is said no one being can wield them all at once.",English,United States,N/A,Internet Movie Database:8.2/10,8.2,472
459,Lego City Adventures,2019–,TV-Y7,"Animation, Short, Action",N/A,"Welcome to LEGO City. A modern metropolis filled with the fiercest firefighters, the cream of the crop cops, and so many BLOCKHEADS. Every citizen will assemble together for the most awesomely awesome adventures.",English,"United States, France, Denmark, United Kingdom",2 nominations,Internet Movie Database:6.7/10,6.7,242
460,Little Monsters,2019,R,"Comedy, Horror, Sci-Fi",Abe Forsythe,A washed-up musician teams up with a teacher and a kids'-show personality to protect young children from a sudden outbreak of zombies.,"English, Chinese","Australia, United States, United Kingdom",3 wins & 10 nominations,"Internet Movie Database:6.3/10, Rotten Tomatoes:80%, Metacritic:59/100",6.3,"18,377"
461,The Garfield Show,2008–2016,TV-Y7,"Animation, Adventure, Comedy",N/A,"A lasagne-loving pussycat adventures and explores the differences between good and bad, and right and wrong.","English, French","France, United States, India, Singapore",2 wins & 2 nominations,Internet Movie Database:5.4/10,5.4,"2,955"
462,The Next Karate Kid,1994,PG,"Action, Drama, Family",Christopher Cain,Mr. Miyagi is back and he takes a new pupil under his wing: a troubled adolescent girl.,English,United States,1 win,"Internet Movie Database:4.5/10, Rotten Tomatoes:7%, Metacritic:36/100",4.5,"32,559"
463,Zumbo's Just Desserts,2016–2020,TV-14,Reality-TV,N/A,Amateur Australian chefs compete to impress patisserie chef Adriano Zumbo with their sweet creations. Those who don't fit the brief go head to head in the 'Zumbo test' to replicate his unique desserts.,English,Australia,N/A,Internet Movie Database:6.9/10,6.9,"2,278"
464,Kongsuni and Friends,2017–,N/A,Animation,N/A,"For five year-old Kongsuni life is one big, beautiful adventure. Whether it's at home, in school or on the playground, everyday experiences have a way of becoming exceptional when she's around! There's never a dull moment in Kongs...",English,South Korea,N/A,Internet Movie Database:4.8/10,4.8,29
465,Chico Bon Bon: Monkey with a Tool Belt,2020,N/A,"Animation, Family",N/A,"Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems.",N/A,United States,N/A,Internet Movie Database:6.3/10,6.3,136
466,Over the Moon,2020,PG,"Animation, Adventure, Comedy","Glen Keane, John Kahrs","In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.","English, Chinese, Hindi","China, United States",Nominated for 1 Oscar. 3 wins & 61 nominations total,"Internet Movie Database:6.3/10, Rotten Tomatoes:81%, Metacritic:60/100",6.3,"23,933"
467,The Magic School Bus Rides Again: The Frizz Connection,2020,N/A,"Animation, Short, Adventure",Richard Weston,"A lightning separates the Magic School Bus into three pieces, scattering the class across the globe with different versions of Ms. Frizzle aboard each bus.",English,Canada,N/A,Internet Movie Database:5.1/10,5.1,48
468,ParaNorman,2012,PG,"Animation, Adventure, Comedy","Chris Butler, Sam Fell","A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse.",English,"United States, United Kingdom",Nominated for 1 Oscar. 19 wins & 46 nominations total,"Internet Movie Database:7.0/10, Rotten Tomatoes:89%, Metacritic:72/100",7.0,"106,225"
469,The Last Kids on Earth,2019–2021,TV-Y7-FV,"Animation, Adventure, Comedy",N/A,"Young teenager Jack Sullivan and a group of friends live in a decked-out tree house, playing video games, eating candy, and fighting zombies in the aftermath of a monster apocalypse.",English,United States,7 wins & 4 nominations,Internet Movie Database:7.3/10,7.3,"1,581"
470,A Babysitter's Guide to Monster Hunting,2020,TV-PG,"Comedy, Family, Fantasy",Rachel Talalay,A babysitter embarks on a mission to save a child who's been abducted by monsters.,English,United States,2 wins & 2 nominations,"Internet Movie Database:5.4/10, Rotten Tomatoes:65%, Metacritic:31/100",5.4,"4,617"
471,Fireman Sam,1987–2023,TV-Y,"Animation, Family",N/A,"The adventures of a community fireman, Sam.","English, Welsh",United Kingdom,Nominated for 1 BAFTA Award1 nomination total,Internet Movie Database:6.1/10,6.1,"1,928"
472,Kartini: Princess of Java,2017,TV-G,"Biography, Drama, Family",Hanung Bramantyo,"This movie follows the story of the Indonesian heroine named Kartini. In the early 1900s, when Indonesia was still a colony of the Netherlands, women weren't allowed to get higher education. Kartini grew up to fight for equality f...","Indonesian, Dutch, English","Indonesia, Netherlands",1 win & 27 nominations,Internet Movie Database:7.5/10,7.5,601
473,Power Rangers Beast Morphers,2019–2020,TV-Y7,"Action, Adventure, Comedy",N/A,"Set in the future, a secret agency combines a newly discovered substance called ""Morph-X"" with animal DNA to create the Power Rangers Beast Morphers team.",English,United States,2 nominations,Internet Movie Database:6.8/10,6.8,703
474,Octonauts and the Caves of Sac Actun,2020,N/A,"Animation, Adventure, Comedy",Blair Simmons,"The Octonauts embark on an underwater adventure, navigating a set of challenging caves to help a small octopus friend return home to the Caribbean Sea.",English,United Kingdom,1 nomination,Internet Movie Database:6.2/10,6.2,210
475,Kipo and the Age of Wonderbeasts,2020,TV-Y7,"Animation, Action, Adventure",N/A,A girl explores the possibilities in a post-apocalyptic world.,English,United States,3 nominations,Internet Movie Database:8.3/10,8.3,"6,582"
476,David Attenborough: A Life on Our Planet,2020,PG,"Documentary, Biography","Alastair Fothergill, Jonathan Hughes, Keith Scholey",One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,English,United Kingdom,Won 3 Primetime Emmys. 8 wins & 10 nominations total,"Internet Movie Database:8.9/10, Rotten Tomatoes:96%, Metacritic:72/100",8.9,"33,330"
477,A Go! Go! Cory Carson Halloween,2020,N/A,"Animation, Short, Family","Stanley Moore, Alex Woo","Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween. But are all the treats worth the trek to the spooky side of town?",English,N/A,N/A,Internet Movie Database:6.2/10,6.2,60
478,Dreamworks Happy Holidays from Madagascar,2005,N/A,"Animation, Comedy, Family",N/A,Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.,English,United States,N/A,Internet Movie Database:6.8/10,6.8,120
479,H2O: Just Add Water,2006–2010,TV-PG,"Drama, Family, Fantasy",N/A,Three girls become mermaids after a mysterious island transforms them and gives them special powers.,English,Australia,2 wins & 6 nominations,Internet Movie Database:7.3/10,7.3,"16,794"
480,All Because of You,2020,TV-14,"Action, Comedy, Romance",Adrian Teh,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.",Malay,Malaysia,N/A,Internet Movie Database:4.0/10,4.0,237
481,The American Game,1979,R,Documentary,"Jay Freund, David Wolf","This is the original 'Hoop Dreams"" and in many ways I think it is better. The stories are compelling and it adds to it that they are from such different worlds: one a white kid from rural Indiana, and the other an urban black kid.",English,United States,N/A,Internet Movie Database:8.3/10,8.3,10
482,The Parkers,1999–2023,TV-PG,Comedy,N/A,Nikki and Kim Parker attend Santa Monica college to earn their college degrees.,English,United States,6 wins & 11 nominations,Internet Movie Database:6.8/10,6.8,"2,543"
483,Baxu and the Giants,2019,N/A,"Short, Drama, Family",Florian Schott,"A story of how Rhino Poaching triggers social change in rural Namibia, seen through the eyes of a 9 year old girl.","English, Nama",Namibia,10 wins & 10 nominations,Internet Movie Database:7.1/10,7.1,76
484,Man with a Plan,2016–2020,TV-PG,Comedy,N/A,A dad finds out that parenting is harder than he thought after his wife goes back to work and he's left at home to take care of the kids.,English,United States,Nominated for 1 Primetime Emmy. 1 win & 1 nomination total,Internet Movie Database:7.0/10,7.0,"10,904"
485,Ankhon Dekhi,2013,N/A,"Comedy, Drama",Rajat Kapoor,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",Hindi,India,6 wins & 8 nominations,Internet Movie Database:7.9/10,7.9,"12,135"
486,Ishq Vishk,2003,N/A,"Comedy, Romance",Ken Ghosh,"A collegian (Shahid Kapoor) woos a beautiful girl, then falls in love with his childhood friend (Amrita Rao).",Hindi,India,10 wins & 5 nominations,Internet Movie Database:6.1/10,6.1,"4,420"
487,Welcome,2007,Not Rated,"Comedy, Crime, Drama",Anees Bazmee,"A man falls in love with a beautiful woman, but later discovers that her brothers are gangsters.",Hindi,India,1 win & 9 nominations,Internet Movie Database:7.0/10,7.0,"24,015"
488,Kiss the Ground,2020,N/A,Documentary,"Joshua Tickell, Rebecca Harrell Tickell","A revolutionary group of activists, scientists, farmers, and politicians band together in a global movement of ""Regenerative Agriculture"" that could balance our climate, replenish our vast water supplies, and feed the world.",English,United States,4 wins & 6 nominations,"Internet Movie Database:8.2/10, Rotten Tomatoes:88%",8.2,"7,260"
489,Fukrey Boyzzz,2019–,TV-Y,Comedy,N/A,"Choocha, Hunny and Laali pursue their outlandish and sometimes dangerous dreams while the scheming Bholi Punjaban constantly tries to sabotage their plans.",Hindi,India,N/A,,N/A,19
490,The American Barbecue Showdown,2020–,TV-G,Reality-TV,N/A,Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,English,United States,N/A,Internet Movie Database:7.1/10,7.1,"1,552"
491,Horrid Henry's Gross Day Out,2020,TV-Y,"Animation, Action, Adventure",Gary Andrews,Henry isn't well and goes out.,English,United Kingdom,N/A,Internet Movie Database:5.6/10,5.6,52
492,Sing On!,2020,TV-PG,"Game-Show, Music",N/A,"In each themed episode, six contestants belt out the biggest hits from that genre while being judged by a vocal analyzer comparing their vocal performance to the original artist's.",English,United States,N/A,Internet Movie Database:6.5/10,6.5,459
493,The Smurfs 2,2013,PG,"Animation, Adventure, Comedy",Raja Gosnell,"The Smurfs team up with their human friends to rescue Smurfette, who has been abducted by Gargamel, since she knows a secret spell that can turn the evil sorcerer's newest creation, creatures called ""The Naughties"", into real Smurfs.","English, French","United States, France, Canada, Belgium",8 nominations,"Internet Movie Database:5.3/10, Rotten Tomatoes:14%, Metacritic:34/100",5.3,"44,203"
494,Wish Upon a Unicorn,2020,PG,"Adventure, Family, Fantasy",Steve Bencich,"After 8-year-old Mia loses her mother, her family moves to Grandma's Montana ranch. In the woods, Mia discovers a unicorn colt: a magical creature that brings luck to anyone who believes in it.",English,N/A,N/A,Internet Movie Database:5.3/10,5.3,222
495,Buddi,2020–,TV-Y,"Animation, Short, Adventure",N/A,"The Buddis bounce, spin, glide and giggle through their magical world, learning new things and sharing the joy of friendship.",English,"United Kingdom, China",1 nomination,Internet Movie Database:7.4/10,7.4,62
496,How to Train Your Dragon 2,2014,PG,"Animation, Action, Adventure",Dean DeBlois,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",English,"United States, India",Nominated for 1 Oscar. 15 wins & 61 nominations total,"Internet Movie Database:7.8/10, Rotten Tomatoes:92%, Metacritic:77/100",7.8,"348,967"
497,Pets United,2019,TV-Y7,"Animation, Adventure, Comedy",Reinhard Klooss,"A group of spoilt, selfish pets led by glamour cat Belle are stranded in their luxury hangout 'Pampered Pets,' when the machines that run Robo City, the hypermodern metropolis that they live in, go wild and take over.",English,"Germany, China, United Kingdom",N/A,Internet Movie Database:3.7/10,3.7,"2,992"
498,Cycle,2016,N/A,"Short, Drama, Thriller",Alexis Ramirez,"A woman slowly strangles someone to death on her bed. Suddenly, there's a knock at the door.",English,United States,1 win,,N/A,712
499,Dhh,2017,N/A,"Drama, Family",Manish Saini,"Dhh is a heartwarming story of 3 friends (Gungun, Bajrang and Vakil) who think they are failure until The Magician comes in. All Three believe that only This Magician can help them out.","Gujarati, Hindi",India,1 win,Internet Movie Database:7.8/10,7.8,440
500,Julie and the Phantoms,2020,TV-G,"Adventure, Comedy, Drama",N/A,"Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to...",English,United States,6 wins & 13 nominations,Internet Movie Database:8.4/10,8.4,"11,055"
501,Satria Heroes: Revenge of the Darkness,2017,TV-PG,"Action, Adventure, Drama","Kenzô Maihara, Amandha Wyanto","One year has passed since Satria Garuda Bima-X defeated VUDO and the earth is in peace again. Ray and Rena are rebuilding the Parallel World again. However, new evil forces attack and old enemies rise again to devastate the earth.",Indonesian,Indonesia,1 win,Internet Movie Database:4.0/10,4.0,80
502,Transformers: Cyberverse,2018–2021,TV-Y7-FV,"Animation, Short, Action",N/A,"The series focuses on the adventures of Bumblebee; having damaged his memory chips, he and Windblade must recover his missing memories in order to help him remember his mission on Earth. Unfortunately, the Decepticons are after th...",English,N/A,1 nomination,Internet Movie Database:6.9/10,6.9,423
503,Spirit Riding Free: Riding Academy,2020,TV-Y7,"Animation, Action, Adventure",N/A,In a small Western town a young girl from the city forms a tight bond with wild horse Spirit while having adventures with her friends.,English,United States,N/A,Internet Movie Database:6.5/10,6.5,127
504,Ave Maryam,2018,N/A,"Drama, Romance",Robby Ertanto,Maryam a catholic nun who falls in love with a pastor.,Indonesian,Indonesia,9 nominations,Internet Movie Database:6.9/10,6.9,532
505,"Love, Guaranteed",2020,TV-PG,"Comedy, Romance",Mark Steven Johnson,"To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each ...",English,United States,1 win & 3 nominations,"Internet Movie Database:5.6/10, Rotten Tomatoes:58%, Metacritic:39/100",5.6,"18,356"
506,Hotel for Dogs,2009,PG,"Comedy, Family",Thor Freudenthal,Two kids secretly take in stray dogs at a vacant hotel.,English,"Germany, United States",2 wins & 2 nominations,"Internet Movie Database:5.5/10, Rotten Tomatoes:46%, Metacritic:51/100",5.5,"24,364"
507,Sky Tour: The Movie,2020,N/A,"Documentary, Music",Son Tung M-TP,"From the preparations to the performances, this documentary showcases Vietnamese pop idol Son Tung M-TP and the passion behind his Sky Tour concerts.",Vietnamese,Vietnam,N/A,Internet Movie Database:5.9/10,5.9,"1,049"
508,Barbie Princess Adventure,2020,TV-Y,"Animation, Family, Musical",Conrad Helten,"With new friends in a new kingdom, Barbie learns what it means to be herself when she trades places with a royal lookalike in this musical adventure.",English,Netherlands,N/A,Internet Movie Database:5.5/10,5.5,582
509,Bookmarks,2020,TV-G,"Short, Family",N/A,"Prominent Black celebrities and artists read children's books from Black authors that highlight the Black experience. Conversations center around themes of identity, respect, justice, and action.",English,United States,1 win & 1 nomination,Internet Movie Database:5.6/10,5.6,168
510,Children of the Sea,2019,Not Rated,"Animation, Adventure, Fantasy",Ayumu Watanabe,"A young girl is drawn into a mystery involving sealife around the world, in which two mysterious boys are somehow involved.",Japanese,"Japan, China, Hong Kong",1 win & 1 nomination,"Internet Movie Database:6.5/10, Rotten Tomatoes:62%, Metacritic:74/100",6.5,"3,348"
511,Heidi,2015,N/A,"Drama, Family",Alain Gsponer,A story of a young girl who lives in the Swiss Alps with her goat herding Grandfather.,"German, Swiss German, Afrikaans","Germany, Switzerland",4 wins & 7 nominations,"Internet Movie Database:7.4/10, Rotten Tomatoes:100%",7.4,"6,609"
512,Puss in Boots,2011,PG,"Animation, Adventure, Comedy",Chris Miller,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.","English, Spanish","United States, India",Nominated for 1 Oscar. 9 wins & 43 nominations total,"Internet Movie Database:6.6/10, Rotten Tomatoes:86%, Metacritic:65/100",6.6,"182,549"
513,"Sister, Sister",1994–1999,TV-G,"Comedy, Drama, Family",N/A,Tia Landry and Tamera Campbell are twins separated at birth who learn of each other's existence and come together as teenagers.,English,United States,Won 1 Primetime Emmy. 9 wins & 20 nominations total,Internet Movie Database:6.3/10,6.3,"13,236"
514,The Boss Baby: Get That Baby!,2020,TV-Y7,"Animation, Short, Adventure","Dan Forgione, Pete Jacobs, Matt Whitlock",An interactive simulation is created where Boss Baby has to fight several villains hungry for revenge. The choices made in the simulation will determine the viewer's career path within Baby Corp.,English,United States,1 nomination,Internet Movie Database:4.9/10,4.9,375
515,The Smurfs,2011,PG,"Animation, Adventure, Comedy",Raja Gosnell,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",English,"United States, Belgium, Canada",2 wins & 8 nominations,"Internet Movie Database:5.4/10, Rotten Tomatoes:21%, Metacritic:30/100",5.4,"93,551"
516,Thomas and Friends: Thomas's Snowy Surprise,2003,TV-Y,Family,David Mitton,"On Sir Topham Hatt's railway, the winter season is a very special time of year and all the engines work extra hard to make the holidays special. But it's not always easy. Join Thomas and his very useful friends for some snowy adve...",English,"United States, United Kingdom",N/A,Internet Movie Database:6.0/10,6.0,47
517,True: Friendship Day,2020,N/A,"Animation, Family","Todd Kauffman, Mark Thornton","When a giant Grippity-Grab snags Grizelda's friendship bracelet and turns her into a mermaid, True heads under the sea with magic wishes to save the day.",English,Canada,N/A,Internet Movie Database:6.0/10,6.0,27
